2026-04-27T14:42:17.602+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Starting MedicalAppointmentSystemApplication using Java 17.0.18 with PID 44272 (C:\Users\user\IdeaProjects\medical-appointment-system\target\classes started by user in C:\Users\user\IdeaProjects\medical-appointment-system)
2026-04-27T14:42:17.613+03:00 DEBUG 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : Running with Spring Boot v3.2.0, Spring v6.1.1
2026-04-27T14:42:17.614+03:00  INFO 44272 --- [main] .m.s.MedicalAppointmentSystemApplication : No active profile set, falling back to 1 default profile: "default"
2026-04-27T14:42:18.966+03:00  INFO 44272 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-27T14:42:19.092+03:00  INFO 44272 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 95 ms. Found 5 JPA repository interfaces.
2026-04-27T15:32:44.217+03:00  INFO 44272 --- [http-nio-8081-exec-9] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [PatientService.getPatientsByLastName(..)] выполнен за 32 мс
2026-04-27T15:32:44.233+03:00  INFO 44272 --- [http-nio-8081-exec-8] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 0 мс
2026-04-27T15:32:44.248+03:00  INFO 44272 --- [http-nio-8081-exec-2] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 15 мс
2026-04-27T15:32:44.248+03:00  INFO 44272 --- [http-nio-8081-exec-5] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [SpecializationService.getAllSpecializations()] выполнен за 0 мс
2026-04-27T15:32:44.264+03:00  INFO 44272 --- [http-nio-8081-exec-1] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 16 мс
2026-04-27T15:32:58.210+03:00  WARN 44272 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=14m50s665ms314µs100ns).
2026-04-27T15:41:32.209+03:00  INFO 44272 --- [http-nio-8081-exec-7] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 10 мс
2026-04-27T15:41:32.221+03:00  INFO 44272 --- [http-nio-8081-exec-10] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.getAllAppointments()] выполнен за 22 мс
2026-04-27T15:41:32.239+03:00  INFO 44272 --- [http-nio-8081-exec-9] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [DoctorService.getAllDoctors()] выполнен за 18 мс
2026-04-27T15:41:32.277+03:00  INFO 44272 --- [http-nio-8081-exec-8] c.m.system.aspect.ExecutionTimeAspect    : AOP: Метод [AppointmentService.getAllAppointments()] выполнен за 38 мс
